ip_address,geo_lat,geo_lng,is_vpn
112.94.46.236,21.1491,79.14456,False
200.194.49.93,27.57127,76.65524,False
126.171.240.112,12.94126,74.82272,False
158.142.117.129,28.60014,77.28375,False
220.54.70.104,27.48922,76.57794,False
38.27.23.196,18.54475,73.83323,True
76.246.93.231,28.49023,77.37209,False
69.140.45.118,27.18031,77.98163,False
152.26.44.150,23.48841,87.26557,False
110.41.146.138,22.60919,88.22295,False
55.168.186.185,22.57911,88.41304,False
65.231.65.252,28.5578,77.36825,False
92.95.226.24,28.53629,77.03576,False
70.82.248.127,28.66103,77.47068,False
19.189.211.34,24.45809,86.68042,False
32.1.247.43,26.86974,75.77293,False
168.154.74.105,27.17346,77.48479,False
33.81.79.235,26.88557,80.96794,False
185.81.252.129,23.9615,86.76742,False
23.27.13.103,18.43317,73.90307,False
186.118.200.98,28.62273,77.2238,False
67.171.234.217,24.02037,86.82545,False
205.33.243.157,28.70674,77.54483,False
57.12.24.133,21.11318,79.14597,False
161.22.124.168,19.11833,72.84915,False
209.188.98.33,12.93442,77.55349,False
107.150.8.175,28.41429,77.38328,False
197.199.214.11,28.62081,77.24701,False
35.13.209.154,12.90678,77.52049,True
28.138.190.140,28.61003,77.20178,False
103.181.105.44,28.58365,77.1823,False
157.113.240.41,27.17014,78.02554,False
188.55.242.150,28.47963,77.36807,False
176.50.110.135,27.34718,77.50065,False
13.18.222.214,28.63223,77.19469,False
134.130.93.128,28.52992,77.33954,False
37.235.253.244,27.17292,77.55629,False
210.11.161.60,23.55227,87.28496,False
13.190.138.224,22.61505,88.29143,False
5.102.255.234,25.21636,75.82652,False
157.182.251.204,28.4713,77.30517,False
93.248.27.251,23.53285,87.40296,False
92.166.21.57,12.88227,74.88306,False
88.205.97.13,27.5223,76.70716,False
191.199.218.230,28.55506,77.21598,False
120.35.30.147,19.13177,72.98632,False
77.227.245.245,28.49038,77.37388,False
67.82.45.40,28.52803,77.33881,False
72.26.109.166,15.34346,75.1397,False
